Farm_ID,Date,Crop,Disease,Growth_Stage,Weather_Condition,Severity,Treatment_Applied,Treatment_Type,Dosage,Cost_Per_Acre,Outcome,Analyst_Notes
5e0c48cf,4/24/2025,Apple,Black Rot,Fruiting,Humid,High,Lime Sulfur,Organic,3.0 pts/acre,11,Failure,Lime Sulfur used during Fruiting stage under Humid conditions for High Black Rot. Outcome: Failure. Recommended.
0deecec0,3/9/2025,Grape,Esca (Black Measles),Seedling,Dry/Sunny,High,Pruning & Sanitation,Mechanical,3.0 pts/acre,104,Partial Control,Pruning & Sanitation used during Seedling stage under Dry/Sunny conditions for High Esca (Black Measles). Outcome: Partial Control. Recommended.
4211a1e7,7/11/2025,Tomato,Bacterial Spot,Vegetative,Rainy,Low,Agri-Mycin,Chemical,2.0 pts/acre,32,Partial Control,Agri-Mycin used during Vegetative stage under Rainy conditions for Low Bacterial Spot. Outcome: Partial Control. Recommended.
03ae57d9,1/13/2026,Grape,Leaf Blight,Harvest Ready,Cold,High,Copper Oxychloride,Chemical,3.0 pts/acre,16,Partial Control,Copper Oxychloride used during Harvest Ready stage under Cold conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
8918280b,3/4/2025,Tomato,Bacterial Spot,Flowering,Rainy,Low,Copper + Mancozeb,Chemical,2.0 pts/acre,26,Partial Control,Copper + Mancozeb used during Flowering stage under Rainy conditions for Low Bacterial Spot. Outcome: Partial Control. Recommended.
a3f5d0ca,3/22/2025,Grape,Esca (Black Measles),Fruiting,Rainy,Critical,Pruning & Sanitation,Mechanical,3.0 pts/acre,100,Partial Control,Pruning & Sanitation used during Fruiting stage under Rainy conditions for Critical Esca (Black Measles). Outcome: Partial Control. Recommended.
dac5f848,2/14/2026,Grape,Esca (Black Measles),Vegetative,Dry/Sunny,Moderate,Trichoderma species,Organic,2.0 pts/acre,45,Partial Control,Trichoderma species used during Vegetative stage under Dry/Sunny conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
e2257bfb,9/19/2025,Grape,Esca (Black Measles),Fruiting,Rainy,Low,Pruning & Sanitation,Mechanical,2.0 pts/acre,103,Partial Control,Pruning & Sanitation used during Fruiting stage under Rainy conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
65228a1b,2/27/2025,Potato,Early Blight,Seedling,Hot,High,Chlorothalonil (Bravo),Chemical,3.0 pts/acre,23,Success,Chlorothalonil (Bravo) used during Seedling stage under Hot conditions for High Early Blight. Outcome: Success. Recommended.
b224fc55,6/18/2025,Potato,Late Blight,Flowering,Rainy,Critical,Ridomil Gold,Chemical,3.0 pts/acre,59,Success,Ridomil Gold used during Flowering stage under Rainy conditions for Critical Late Blight. Outcome: Success. Recommended.
31182465,2/20/2025,Potato,Early Blight,Flowering,Hot,Critical,Copper Hydroxide,Organic,3.0 pts/acre,10,Failure,Copper Hydroxide used during Flowering stage under Hot conditions for Critical Early Blight. Outcome: Failure. Recommended.
ae22cef1,1/7/2026,Potato,Late Blight,Seedling,Dry/Sunny,Critical,Propamocarb,Chemical,3.0 pts/acre,45,Success,Propamocarb used during Seedling stage under Dry/Sunny conditions for Critical Late Blight. Outcome: Success. Recommended.
4f00d077,10/17/2025,Potato,Late Blight,Vegetative,Dry/Sunny,High,Fixed Copper,Organic,3.0 pts/acre,13,Partial Control,Fixed Copper used during Vegetative stage under Dry/Sunny conditions for High Late Blight. Outcome: Partial Control. Recommended.
face7c42,9/7/2025,Apple,Black Rot,Harvest Ready,Dry/Sunny,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,29,Success,Thiophanate-methyl used during Harvest Ready stage under Dry/Sunny conditions for Low Black Rot. Outcome: Success. Recommended.
271840a3,8/22/2025,Apple,Apple Scab,Flowering,Dry/Sunny,Moderate,Captan,Chemical,2.0 pts/acre,20,Success,Captan used during Flowering stage under Dry/Sunny conditions for Moderate Apple Scab. Outcome: Success. Recommended.
3b931e03,12/21/2025,Grape,Leaf Blight,Flowering,Dry/Sunny,Critical,Mancozeb,Chemical,3.0 pts/acre,23,Success,Mancozeb used during Flowering stage under Dry/Sunny conditions for Critical Leaf Blight. Outcome: Success. Recommended.
0754ff6e,6/7/2025,Potato,Early Blight,Seedling,Humid,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,44,Success,Azoxystrobin (Quadris) used during Seedling stage under Humid conditions for Critical Early Blight. Outcome: Success. Recommended.
edadf7b6,12/29/2025,Tomato,Bacterial Spot,Fruiting,Hot,Critical,Agri-Mycin,Chemical,3.0 pts/acre,33,Partial Control,Agri-Mycin used during Fruiting stage under Hot conditions for Critical Bacterial Spot. Outcome: Partial Control. Recommended.
a915b8c2,1/18/2026,Potato,Early Blight,Harvest Ready,Cold,High,Mancozeb (Dithane),Chemical,3.0 pts/acre,15,Failure,Mancozeb (Dithane) used during Harvest Ready stage under Cold conditions for High Early Blight. Outcome: Failure. unsafe due to PHI (5 days).
a83f2806,5/5/2025,Grape,Black Rot,Harvest Ready,Dry/Sunny,Critical,Captan,Chemical,3.0 pts/acre,21,Success,Captan used during Harvest Ready stage under Dry/Sunny conditions for Critical Black Rot. Outcome: Success. Recommended.
c3f04395,8/17/2025,Apple,Black Rot,Fruiting,Humid,Critical,Captan,Chemical,3.0 pts/acre,25,Success,Captan used during Fruiting stage under Humid conditions for Critical Black Rot. Outcome: Success. Recommended.
62f2ea75,4/22/2025,Apple,Apple Scab,Vegetative,Hot,Moderate,Myclobutanil,Chemical,2.0 pts/acre,39,Success,Myclobutanil used during Vegetative stage under Hot conditions for Moderate Apple Scab. Outcome: Success. Recommended.
f0298295,1/2/2026,Grape,Esca (Black Measles),Vegetative,Humid,Low,Trichoderma species,Organic,2.0 pts/acre,41,Partial Control,Trichoderma species used during Vegetative stage under Humid conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
2ad065d7,8/14/2025,Grape,Esca (Black Measles),Harvest Ready,Hot,Low,Trichoderma species,Organic,2.0 pts/acre,42,Partial Control,Trichoderma species used during Harvest Ready stage under Hot conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
b5335462,5/14/2025,Apple,Black Rot,Vegetative,Cold,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,35,Success,Thiophanate-methyl used during Vegetative stage under Cold conditions for Moderate Black Rot. Outcome: Success. Recommended.
5cceca2c,2/15/2026,Potato,Late Blight,Seedling,Cold,Critical,Propamocarb,Chemical,3.0 pts/acre,43,Success,Propamocarb used during Seedling stage under Cold conditions for Critical Late Blight. Outcome: Success. Recommended.
82f53135,5/4/2025,Grape,Leaf Blight,Seedling,Rainy,Moderate,Mancozeb,Chemical,2.0 pts/acre,17,Partial Control,Mancozeb used during Seedling stage under Rainy conditions for Moderate Leaf Blight. Outcome: Partial Control. Recommended.
43b5b306,4/24/2025,Potato,Late Blight,Fruiting,Humid,High,Ridomil Gold,Chemical,3.0 pts/acre,56,Success,Ridomil Gold used during Fruiting stage under Humid conditions for High Late Blight. Outcome: Success. Recommended.
18844a6f,10/13/2025,Potato,Early Blight,Seedling,Rainy,Moderate,Copper Hydroxide,Organic,2.0 pts/acre,17,Failure,Copper Hydroxide used during Seedling stage under Rainy conditions for Moderate Early Blight. Outcome: Failure. Recommended.
143420b4,7/10/2025,Grape,Esca (Black Measles),Vegetative,Hot,Moderate,Pruning & Sanitation,Mechanical,2.0 pts/acre,99,Partial Control,Pruning & Sanitation used during Vegetative stage under Hot conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
d7f84332,1/23/2026,Tomato,Late Blight,Seedling,Rainy,Low,Propamocarb,Chemical,2.0 pts/acre,39,Partial Control,Propamocarb used during Seedling stage under Rainy conditions for Low Late Blight. Outcome: Partial Control. Recommended.
4d00f0b5,7/15/2025,Potato,Late Blight,Harvest Ready,Cold,Moderate,Fixed Copper,Organic,2.0 pts/acre,15,Partial Control,Fixed Copper used during Harvest Ready stage under Cold conditions for Moderate Late Blight. Outcome: Partial Control. Recommended.
bfb4f346,10/27/2025,Potato,Early Blight,Vegetative,Rainy,High,Copper Hydroxide,Organic,3.0 pts/acre,13,Failure,Copper Hydroxide used during Vegetative stage under Rainy conditions for High Early Blight. Outcome: Failure. Recommended.
7e29319d,7/11/2025,Tomato,Bacterial Spot,Harvest Ready,Humid,Moderate,Bacteriophages,Organic,2.0 pts/acre,47,Partial Control,Bacteriophages used during Harvest Ready stage under Humid conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
c3c124e4,2/11/2026,Tomato,Bacterial Spot,Vegetative,Cold,Moderate,Bacteriophages,Organic,2.0 pts/acre,55,Partial Control,Bacteriophages used during Vegetative stage under Cold conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
fd72a39a,9/9/2025,Tomato,Early Blight,Flowering,Rainy,Critical,Copper Hydroxide,Organic,3.0 pts/acre,20,Failure,Copper Hydroxide used during Flowering stage under Rainy conditions for Critical Early Blight. Outcome: Failure. Recommended.
028c4763,11/17/2025,Apple,Black Rot,Seedling,Cold,Critical,Thiophanate-methyl,Chemical,3.0 pts/acre,32,Success,Thiophanate-methyl used during Seedling stage under Cold conditions for Critical Black Rot. Outcome: Success. Recommended.
759e1349,6/25/2025,Apple,Black Rot,Seedling,Cold,Critical,Thiophanate-methyl,Chemical,3.0 pts/acre,34,Success,Thiophanate-methyl used during Seedling stage under Cold conditions for Critical Black Rot. Outcome: Success. Recommended.
2a6fc714,1/14/2026,Tomato,Early Blight,Vegetative,Hot,Moderate,Bacillus subtilis,Organic,2.0 pts/acre,34,Partial Control,Bacillus subtilis used during Vegetative stage under Hot conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
81063595,2/27/2025,Potato,Late Blight,Fruiting,Humid,High,Propamocarb,Chemical,3.0 pts/acre,40,Success,Propamocarb used during Fruiting stage under Humid conditions for High Late Blight. Outcome: Success. Recommended.
8c8655ea,6/26/2025,Grape,Black Rot,Fruiting,Rainy,Critical,Lime Sulfur,Organic,3.0 pts/acre,15,Failure,Lime Sulfur used during Fruiting stage under Rainy conditions for Critical Black Rot. Outcome: Failure. Recommended.
31a21532,1/3/2026,Grape,Esca (Black Measles),Seedling,Cold,Moderate,Pruning & Sanitation,Mechanical,2.0 pts/acre,100,Partial Control,Pruning & Sanitation used during Seedling stage under Cold conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
00f8543a,8/19/2025,Grape,Black Rot,Vegetative,Humid,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,31,Success,Thiophanate-methyl used during Vegetative stage under Humid conditions for Moderate Black Rot. Outcome: Success. Recommended.
655395c2,9/16/2025,Tomato,Bacterial Spot,Fruiting,Humid,High,Bacteriophages,Organic,3.0 pts/acre,50,Partial Control,Bacteriophages used during Fruiting stage under Humid conditions for High Bacterial Spot. Outcome: Partial Control. Recommended.
f2f1376d,4/22/2025,Tomato,Bacterial Spot,Harvest Ready,Dry/Sunny,Low,Agri-Mycin,Chemical,2.0 pts/acre,40,Partial Control,Agri-Mycin used during Harvest Ready stage under Dry/Sunny conditions for Low Bacterial Spot. Outcome: Partial Control. Recommended.
f2af246e,7/7/2025,Grape,Leaf Blight,Flowering,Humid,Critical,Mancozeb,Chemical,3.0 pts/acre,20,Success,Mancozeb used during Flowering stage under Humid conditions for Critical Leaf Blight. Outcome: Success. Recommended.
0f18d53f,1/5/2026,Apple,Apple Scab,Seedling,Dry/Sunny,High,Captan,Chemical,3.0 pts/acre,25,Partial Control,Captan used during Seedling stage under Dry/Sunny conditions for High Apple Scab. Outcome: Partial Control. Recommended.
b6cf8eb4,7/19/2025,Potato,Early Blight,Fruiting,Cold,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,40,Success,Azoxystrobin (Quadris) used during Fruiting stage under Cold conditions for Critical Early Blight. Outcome: Success. Recommended.
0dc68314,3/10/2025,Tomato,Late Blight,Flowering,Dry/Sunny,Moderate,Fixed Copper,Organic,2.0 pts/acre,20,Partial Control,Fixed Copper used during Flowering stage under Dry/Sunny conditions for Moderate Late Blight. Outcome: Partial Control. Recommended.
f6811dc3,9/10/2025,Apple,Cedar Apple Rust,Harvest Ready,Hot,High,Propiconazole,Chemical,3.0 pts/acre,27,Failure,Propiconazole used during Harvest Ready stage under Hot conditions for High Cedar Apple Rust. Outcome: Failure. unsafe due to PHI (14 days).
65770660,10/31/2025,Tomato,Late Blight,Harvest Ready,Humid,Critical,Propamocarb,Chemical,3.0 pts/acre,42,Failure,Propamocarb used during Harvest Ready stage under Humid conditions for Critical Late Blight. Outcome: Failure. unsafe due to PHI (5 days).
48f14c22,8/5/2025,Grape,Leaf Blight,Flowering,Hot,Moderate,Copper Oxychloride,Chemical,2.0 pts/acre,17,Partial Control,Copper Oxychloride used during Flowering stage under Hot conditions for Moderate Leaf Blight. Outcome: Partial Control. Recommended.
50d79aad,1/7/2026,Tomato,Bacterial Spot,Harvest Ready,Hot,Moderate,Bacteriophages,Organic,2.0 pts/acre,55,Partial Control,Bacteriophages used during Harvest Ready stage under Hot conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
da487142,1/6/2026,Apple,Apple Scab,Flowering,Cold,Moderate,Sulfur,Organic,2.0 pts/acre,15,Partial Control,Sulfur used during Flowering stage under Cold conditions for Moderate Apple Scab. Outcome: Partial Control. Recommended.
133fe13e,8/14/2025,Grape,Leaf Blight,Fruiting,Hot,Low,Copper Oxychloride,Chemical,2.0 pts/acre,16,Partial Control,Copper Oxychloride used during Fruiting stage under Hot conditions for Low Leaf Blight. Outcome: Partial Control. Recommended.
54aad031,4/27/2025,Tomato,Late Blight,Fruiting,Hot,Moderate,Ridomil Gold,Chemical,2.0 pts/acre,59,Success,Ridomil Gold used during Fruiting stage under Hot conditions for Moderate Late Blight. Outcome: Success. Recommended.
b0db5f34,6/29/2025,Tomato,Bacterial Spot,Fruiting,Rainy,Low,Agri-Mycin,Chemical,2.0 pts/acre,38,Partial Control,Agri-Mycin used during Fruiting stage under Rainy conditions for Low Bacterial Spot. Outcome: Partial Control. Recommended.
5088ea19,7/1/2025,Grape,Black Rot,Seedling,Humid,Low,Captan,Chemical,2.0 pts/acre,23,Success,Captan used during Seedling stage under Humid conditions for Low Black Rot. Outcome: Success. Recommended.
bf6caa87,11/17/2025,Potato,Late Blight,Vegetative,Rainy,Moderate,Ridomil Gold,Chemical,2.0 pts/acre,60,Success,Ridomil Gold used during Vegetative stage under Rainy conditions for Moderate Late Blight. Outcome: Success. Recommended.
cee542a7,11/28/2025,Apple,Cedar Apple Rust,Vegetative,Hot,Low,Propiconazole,Chemical,2.0 pts/acre,31,Success,Propiconazole used during Vegetative stage under Hot conditions for Low Cedar Apple Rust. Outcome: Success. Recommended.
25527fc8,3/6/2025,Tomato,Early Blight,Flowering,Rainy,Moderate,Copper Hydroxide,Organic,2.0 pts/acre,12,Failure,Copper Hydroxide used during Flowering stage under Rainy conditions for Moderate Early Blight. Outcome: Failure. Recommended.
ee88a9c5,6/25/2025,Tomato,Late Blight,Vegetative,Hot,Low,Propamocarb,Chemical,2.0 pts/acre,37,Success,Propamocarb used during Vegetative stage under Hot conditions for Low Late Blight. Outcome: Success. Recommended.
3964fe38,4/19/2025,Potato,Late Blight,Harvest Ready,Cold,High,Ridomil Gold,Chemical,3.0 pts/acre,56,Failure,Ridomil Gold used during Harvest Ready stage under Cold conditions for High Late Blight. Outcome: Failure. unsafe due to PHI (5 days).
4169d098,10/25/2025,Potato,Late Blight,Seedling,Rainy,Low,Propamocarb,Chemical,2.0 pts/acre,35,Partial Control,Propamocarb used during Seedling stage under Rainy conditions for Low Late Blight. Outcome: Partial Control. Recommended.
23f004b8,5/7/2025,Grape,Esca (Black Measles),Seedling,Dry/Sunny,Critical,Trichoderma species,Organic,3.0 pts/acre,38,Failure,Trichoderma species used during Seedling stage under Dry/Sunny conditions for Critical Esca (Black Measles). Outcome: Failure. Recommended.
baf09c5d,10/19/2025,Potato,Early Blight,Fruiting,Humid,High,Bacillus subtilis,Organic,3.0 pts/acre,28,Partial Control,Bacillus subtilis used during Fruiting stage under Humid conditions for High Early Blight. Outcome: Partial Control. Recommended.
bd9b5ac3,8/4/2025,Potato,Early Blight,Vegetative,Hot,Moderate,Mancozeb (Dithane),Chemical,2.0 pts/acre,23,Success,Mancozeb (Dithane) used during Vegetative stage under Hot conditions for Moderate Early Blight. Outcome: Success. Recommended.
15752b0a,10/30/2025,Potato,Early Blight,Vegetative,Hot,High,Bacillus subtilis,Organic,3.0 pts/acre,27,Partial Control,Bacillus subtilis used during Vegetative stage under Hot conditions for High Early Blight. Outcome: Partial Control. Recommended.
d632e3fb,3/24/2025,Potato,Early Blight,Fruiting,Humid,Moderate,Azoxystrobin (Quadris),Chemical,2.0 pts/acre,50,Success,Azoxystrobin (Quadris) used during Fruiting stage under Humid conditions for Moderate Early Blight. Outcome: Success. Recommended.
dc93d0f9,7/27/2025,Grape,Esca (Black Measles),Seedling,Rainy,Low,Trichoderma species,Organic,2.0 pts/acre,37,Failure,Trichoderma species used during Seedling stage under Rainy conditions for Low Esca (Black Measles). Outcome: Failure. Recommended.
2c38316e,4/9/2025,Apple,Black Rot,Harvest Ready,Cold,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,27,Success,Thiophanate-methyl used during Harvest Ready stage under Cold conditions for Moderate Black Rot. Outcome: Success. Recommended.
621255,2/28/2025,Tomato,Early Blight,Flowering,Rainy,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,44,Success,Azoxystrobin (Quadris) used during Flowering stage under Rainy conditions for Critical Early Blight. Outcome: Success. Recommended.
9c8ea687,8/14/2025,Grape,Esca (Black Measles),Flowering,Cold,High,Pruning & Sanitation,Mechanical,3.0 pts/acre,100,Partial Control,Pruning & Sanitation used during Flowering stage under Cold conditions for High Esca (Black Measles). Outcome: Partial Control. Recommended.
272b64c2,10/4/2025,Potato,Late Blight,Seedling,Cold,Low,Fixed Copper,Organic,2.0 pts/acre,20,Partial Control,Fixed Copper used during Seedling stage under Cold conditions for Low Late Blight. Outcome: Partial Control. Recommended.
99d90862,2/18/2025,Potato,Late Blight,Harvest Ready,Humid,Low,Fixed Copper,Organic,2.0 pts/acre,17,Partial Control,Fixed Copper used during Harvest Ready stage under Humid conditions for Low Late Blight. Outcome: Partial Control. Recommended.
5911341,7/27/2025,Grape,Black Rot,Vegetative,Humid,Critical,Captan,Chemical,3.0 pts/acre,19,Success,Captan used during Vegetative stage under Humid conditions for Critical Black Rot. Outcome: Success. Recommended.
d1adfffc,3/17/2025,Grape,Esca (Black Measles),Seedling,Hot,High,Pruning & Sanitation,Mechanical,3.0 pts/acre,100,Partial Control,Pruning & Sanitation used during Seedling stage under Hot conditions for High Esca (Black Measles). Outcome: Partial Control. Recommended.
a2eb1872,8/18/2025,Potato,Late Blight,Vegetative,Humid,Critical,Ridomil Gold,Chemical,3.0 pts/acre,50,Success,Ridomil Gold used during Vegetative stage under Humid conditions for Critical Late Blight. Outcome: Success. Recommended.
e0cb3c95,4/22/2025,Potato,Late Blight,Harvest Ready,Rainy,Critical,Propamocarb,Chemical,3.0 pts/acre,37,Failure,Propamocarb used during Harvest Ready stage under Rainy conditions for Critical Late Blight. Outcome: Failure. unsafe due to PHI (5 days).
d0e4620c,10/29/2025,Apple,Black Rot,Harvest Ready,Hot,High,Captan,Chemical,3.0 pts/acre,18,Partial Control,Captan used during Harvest Ready stage under Hot conditions for High Black Rot. Outcome: Partial Control. Recommended.
044f008a,5/2/2025,Grape,Esca (Black Measles),Harvest Ready,Dry/Sunny,Critical,Trichoderma species,Organic,3.0 pts/acre,40,Failure,Trichoderma species used during Harvest Ready stage under Dry/Sunny conditions for Critical Esca (Black Measles). Outcome: Failure. Recommended.
bc02debd,7/28/2025,Tomato,Late Blight,Seedling,Rainy,Critical,Ridomil Gold,Chemical,3.0 pts/acre,60,Success,Ridomil Gold used during Seedling stage under Rainy conditions for Critical Late Blight. Outcome: Success. Recommended.
5ceb3f4c,10/12/2025,Potato,Late Blight,Seedling,Hot,High,Fixed Copper,Organic,3.0 pts/acre,17,Partial Control,Fixed Copper used during Seedling stage under Hot conditions for High Late Blight. Outcome: Partial Control. Recommended.
ea5df698,1/13/2026,Potato,Late Blight,Vegetative,Cold,Critical,Ridomil Gold,Chemical,3.0 pts/acre,53,Success,Ridomil Gold used during Vegetative stage under Cold conditions for Critical Late Blight. Outcome: Success. Recommended.
8b35b398,12/11/2025,Apple,Apple Scab,Harvest Ready,Hot,Low,Myclobutanil,Chemical,2.0 pts/acre,42,Failure,Myclobutanil used during Harvest Ready stage under Hot conditions for Low Apple Scab. Outcome: Failure. unsafe due to PHI (14 days).
c8d64213,11/16/2025,Tomato,Late Blight,Harvest Ready,Humid,Low,Ridomil Gold,Chemical,2.0 pts/acre,50,Failure,Ridomil Gold used during Harvest Ready stage under Humid conditions for Low Late Blight. Outcome: Failure. unsafe due to PHI (5 days).
801e9aad,12/26/2025,Potato,Early Blight,Seedling,Humid,Low,Copper Hydroxide,Organic,2.0 pts/acre,20,Partial Control,Copper Hydroxide used during Seedling stage under Humid conditions for Low Early Blight. Outcome: Partial Control. Recommended.
b39bfa0b,6/18/2025,Grape,Black Rot,Vegetative,Cold,Moderate,Captan,Chemical,2.0 pts/acre,27,Success,Captan used during Vegetative stage under Cold conditions for Moderate Black Rot. Outcome: Success. Recommended.
0d992ff6,9/9/2025,Grape,Esca (Black Measles),Flowering,Dry/Sunny,Critical,Pruning & Sanitation,Mechanical,3.0 pts/acre,98,Partial Control,Pruning & Sanitation used during Flowering stage under Dry/Sunny conditions for Critical Esca (Black Measles). Outcome: Partial Control. Recommended.
0d6b2eb9,2/19/2025,Tomato,Late Blight,Vegetative,Rainy,Low,Ridomil Gold,Chemical,2.0 pts/acre,60,Success,Ridomil Gold used during Vegetative stage under Rainy conditions for Low Late Blight. Outcome: Success. Recommended.
e16d11f4,10/27/2025,Grape,Black Rot,Fruiting,Humid,Critical,Thiophanate-methyl,Chemical,3.0 pts/acre,37,Success,Thiophanate-methyl used during Fruiting stage under Humid conditions for Critical Black Rot. Outcome: Success. Recommended.
797042c0,4/9/2025,Tomato,Bacterial Spot,Flowering,Hot,Moderate,Bacteriophages,Organic,2.0 pts/acre,52,Partial Control,Bacteriophages used during Flowering stage under Hot conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
3e8e890c,3/29/2025,Tomato,Early Blight,Fruiting,Rainy,High,Copper Hydroxide,Organic,3.0 pts/acre,11,Failure,Copper Hydroxide used during Fruiting stage under Rainy conditions for High Early Blight. Outcome: Failure. Recommended.
38834dd1,12/23/2025,Tomato,Early Blight,Fruiting,Dry/Sunny,High,Mancozeb (Dithane),Chemical,3.0 pts/acre,18,Partial Control,Mancozeb (Dithane) used during Fruiting stage under Dry/Sunny conditions for High Early Blight. Outcome: Partial Control. Recommended.
9d02859d,8/23/2025,Potato,Early Blight,Fruiting,Dry/Sunny,Moderate,Mancozeb (Dithane),Chemical,2.0 pts/acre,25,Success,Mancozeb (Dithane) used during Fruiting stage under Dry/Sunny conditions for Moderate Early Blight. Outcome: Success. Recommended.
dd29e8ea,3/6/2025,Grape,Leaf Blight,Flowering,Dry/Sunny,High,Copper Oxychloride,Chemical,3.0 pts/acre,19,Partial Control,Copper Oxychloride used during Flowering stage under Dry/Sunny conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
8f9bae15,9/5/2025,Grape,Black Rot,Vegetative,Cold,Moderate,Captan,Chemical,2.0 pts/acre,24,Success,Captan used during Vegetative stage under Cold conditions for Moderate Black Rot. Outcome: Success. Recommended.
159d96b7,8/29/2025,Apple,Cedar Apple Rust,Harvest Ready,Humid,Moderate,Myclobutanil,Chemical,2.0 pts/acre,36,Failure,Myclobutanil used during Harvest Ready stage under Humid conditions for Moderate Cedar Apple Rust. Outcome: Failure. unsafe due to PHI (14 days).
1462d3de,6/28/2025,Potato,Late Blight,Vegetative,Cold,Moderate,Propamocarb,Chemical,2.0 pts/acre,42,Success,Propamocarb used during Vegetative stage under Cold conditions for Moderate Late Blight. Outcome: Success. Recommended.
86a66b16,11/21/2025,Tomato,Late Blight,Vegetative,Cold,Critical,Propamocarb,Chemical,3.0 pts/acre,40,Success,Propamocarb used during Vegetative stage under Cold conditions for Critical Late Blight. Outcome: Success. Recommended.
cefa839f,10/22/2025,Tomato,Late Blight,Seedling,Dry/Sunny,Low,Fixed Copper,Organic,2.0 pts/acre,13,Partial Control,Fixed Copper used during Seedling stage under Dry/Sunny conditions for Low Late Blight. Outcome: Partial Control. Recommended.
653c1def,2/3/2026,Potato,Early Blight,Seedling,Cold,Moderate,Copper Hydroxide,Organic,2.0 pts/acre,18,Partial Control,Copper Hydroxide used during Seedling stage under Cold conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
5bd82926,2/1/2026,Tomato,Early Blight,Flowering,Dry/Sunny,High,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,40,Success,Azoxystrobin (Quadris) used during Flowering stage under Dry/Sunny conditions for High Early Blight. Outcome: Success. Recommended.
72e06e70,9/17/2025,Grape,Leaf Blight,Vegetative,Rainy,Moderate,Mancozeb,Chemical,2.0 pts/acre,25,Partial Control,Mancozeb used during Vegetative stage under Rainy conditions for Moderate Leaf Blight. Outcome: Partial Control. Recommended.
f754bcfb,3/12/2025,Apple,Cedar Apple Rust,Seedling,Humid,Moderate,Propiconazole,Chemical,2.0 pts/acre,29,Success,Propiconazole used during Seedling stage under Humid conditions for Moderate Cedar Apple Rust. Outcome: Success. Recommended.
f54f084c,5/11/2025,Potato,Late Blight,Fruiting,Humid,Critical,Propamocarb,Chemical,3.0 pts/acre,45,Success,Propamocarb used during Fruiting stage under Humid conditions for Critical Late Blight. Outcome: Success. Recommended.
559c01b3,5/28/2025,Apple,Apple Scab,Flowering,Rainy,Critical,Captan,Chemical,3.0 pts/acre,24,Partial Control,Captan used during Flowering stage under Rainy conditions for Critical Apple Scab. Outcome: Partial Control. Recommended.
f7c16864,11/18/2025,Grape,Esca (Black Measles),Harvest Ready,Rainy,High,Trichoderma species,Organic,3.0 pts/acre,37,Failure,Trichoderma species used during Harvest Ready stage under Rainy conditions for High Esca (Black Measles). Outcome: Failure. Recommended.
e044640a,11/6/2025,Potato,Early Blight,Fruiting,Dry/Sunny,Moderate,Mancozeb (Dithane),Chemical,2.0 pts/acre,25,Success,Mancozeb (Dithane) used during Fruiting stage under Dry/Sunny conditions for Moderate Early Blight. Outcome: Success. Recommended.
931b7a16,1/16/2026,Apple,Black Rot,Flowering,Cold,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,32,Success,Thiophanate-methyl used during Flowering stage under Cold conditions for Moderate Black Rot. Outcome: Success. Recommended.
71ae2352,12/20/2025,Apple,Apple Scab,Flowering,Dry/Sunny,High,Sulfur,Organic,3.0 pts/acre,15,Partial Control,Sulfur used during Flowering stage under Dry/Sunny conditions for High Apple Scab. Outcome: Partial Control. Recommended.
3dfc5dfc,7/25/2025,Potato,Late Blight,Vegetative,Hot,Low,Fixed Copper,Organic,2.0 pts/acre,18,Partial Control,Fixed Copper used during Vegetative stage under Hot conditions for Low Late Blight. Outcome: Partial Control. Recommended.
3e11dd0f,3/3/2025,Grape,Leaf Blight,Harvest Ready,Hot,High,Mancozeb,Chemical,3.0 pts/acre,18,Failure,Mancozeb used during Harvest Ready stage under Hot conditions for High Leaf Blight. Outcome: Failure. unsafe due to PHI (66 days).
3c5d7ca2,9/25/2025,Grape,Esca (Black Measles),Seedling,Rainy,Moderate,Trichoderma species,Organic,2.0 pts/acre,45,Failure,Trichoderma species used during Seedling stage under Rainy conditions for Moderate Esca (Black Measles). Outcome: Failure. Recommended.
